month,day,location,drink,people
September,15,moge tee,mango tea slush,andrew
September,22,moge tee,milk tea w boba,
September,25,moge tee,strawberry green tea slush w cheese foam,
September,27,moge tee,milk tea w boba,
October,2,moge tee,milk tea w tofu pudding,
October,8,moge tee,strawberry slush w cheese foam,
October,10,moge tee,milk tea w boba,
October,14,moge tee,milk tea w boba,
October,16,moge tee,strawberry slush w cheese foam,
October,18,moge tee,uji matcha w boba and creme brulee,
October,19,sorate,matcha latte,renee
