month,day,store,drink,toppings,drink name,friends,cost,size,rating
march,22,85 degrees,thai tea,"boba, coffee jelly",,"mom, waipo",$5.50,16oz,9.5/10
march,23,heytea,strawberry peach slush,lime slice,strawberry peach boom,"valeria, jeff",$6.49,16oz,7/10
march,24,sunright,mango smoothie,jasmine tea jelly,mango frostie,"sophia, mom",$6.80,240z,9.5/10 
march,24,sunright,strawberry slush,cheese foam,strawberry frostie,"sophia, mom",$6.80,240z,9/10
march,28,molly tea,jasmine milk tea,,premium jasmine milk tea,"jaclyn, denis",$6.99,16oz,10/10
march,30,heytea,mango coconut smoothie,"sago, coconut pudding, mango puree",coconut mango boom,"jaclyn, lisa",$6.49,16oz,10/10
april,1,heytea,mango coconut smoothie,"sago, coconut pudding, mango puree",coconut mango boom,"lynn, maya, farizah",$6.99,16oz,9/10
april,4,molly tea,jasmine milk tea, matcha cheese foam,premium jasmine matcha,"jaclyn, lisa, denis",$6.99,16oz,10/10
april,6,heytea,mango coconut smoothie,"sago, coconut pudding, mango puree",coconut mango boom,"jaclyn, lisa, denis",$7.99,22oz,10/10
april,8,heytea,mango coconut smoothie,"sago, coconut pudding, mango puree",coconut mango boom,"jaclyn, lisa, denis",$7.99,22oz,10/10
april,9,moge tee,milk tea,coconut lychee jelly,,denis,$6.95,22oz,9/10 
april,14,heytea,green grape slush,"cheese foam, crushed green grapes",cloud green grape,denis,$7.99,16oz,8/10 
april,16,heytea,mango coconut smoothie,"sago, coconut pudding, mango puree",coconut mango boom,denis,$7.99,22oz,10/10
april,17,playa bowl,strawberry banana coconut milk smoothie,,,denis,$8.95,20oz,8/10
april,18,heytea,guava slushie,crushed green grapes,guava green grape,"denis, jaclyn, lisa",$7.99,16oz,10/10
april,18,heytea,guava slushie,crushed green grapes,guava green grape,"denis, jaclyn, lisa",$7.99,16oz,10/10
april,18,myori,milk tea,boba,,"denis, jaclyn, lisa",$6.99,22oz,6.5/10
april,18,myori,milk tea,,,"denis, jaclyn, lisa",$6.99,22oz,6.5/10
april,19,heytea,matcha jasmine latte,"matcha foam, matcha jelly",matcha jasmine latte,"jing, denis, jaclyn, lisa, austin, ethan",$7.99,16oz,9.5/10
april,24,gongcha,strawberry milk tea,pudding,,denis,$7.50,22oz,7.5/10
april,25,heytea,mango coconut smoothie,"sago, coconut pudding, mango puree",coconut mango boom,emily,$6.99,16oz,9.5/10
april,25,molly tea,jasmine milk tea, matcha cheese foam,premium jasmine matcha,emily,$6.99,16oz,9/10
april,25,kong sikh tong,hong kong milk tea,,,emily,$4.75,12oz,9/10
april,26,heytea,guava slushie,crushed green grapes,guava green grape,emily,$7.99,16oz,10/10
april,27,heytea,mango smoothie,cheese foam,cloud mango,andrew,$7.49,16oz,10/10
april,27,molly tea,jasmine milk tea,,premium jasmine milk tea,andrew,$6.99,16oz,10/10
april,28,heytea,mango coconut smoothie,"sago, coconut pudding, mango puree",coconut mango boom,"jaclyn, lisa, denis",$7.99,22oz,10/10
